model,2nd_model,type,feature,importance,std,column
RandomForestRegressor,DecisionTreeRegressor,voting,,0.077, +/- 0.051,month
RandomForestRegressor,DecisionTreeRegressor,voting,,-0.022, +/- 0.381,next_day
RandomForestRegressor,DecisionTreeRegressor,voting,,-0.277, +/- 0.104,prev_day
RandomForestRegressor,DecisionTreeRegressor,cascade,,1171.075, +/- 16.172,preds
RandomForestRegressor,DecisionTreeRegressor,cascade,,58.982, +/- 0.567,ts
RandomForestRegressor,DecisionTreeRegressor,cascade,,0.388, +/- 0.055,prev_hour
RandomForestRegressor,DecisionTreeRegressor,cascade,,0.282, +/- 0.032,next_hour
RandomForestRegressor,DecisionTreeRegressor,cascade,,0.278, +/- 0.061,day_of_year
RandomForestRegressor,DecisionTreeRegressor,cascade,,0.212, +/- 0.079,hour
RandomForestRegressor,DecisionTreeRegressor,cascade,,0.113, +/- 0.034,next_day
RandomForestRegressor,DecisionTreeRegressor,cascade,,0.111, +/- 0.019,prev_week
RandomForestRegressor,DecisionTreeRegressor,cascade,,0.104, +/- 0.027,prev_day
RandomForestRegressor,DecisionTreeRegressor,cascade,,0.078, +/- 0.015,day
RandomForestRegressor,DecisionTreeRegressor,cascade,,0.040, +/- 0.022,day_of_week
RandomForestRegressor,DecisionTreeRegressor,cascade,,0.033, +/- 0.011,year
RandomForestRegressor,DecisionTreeRegressor,cascade,,0.032, +/- 0.049,next_week
RandomForestRegressor,DecisionTreeRegressor,cascade,,0.023, +/- 0.017,month
RandomForestRegressor,DecisionTreeRegressor,cascade,,0.017, +/- 0.010,week_of_year
RandomForestRegressor,RandomForestRegressor,voting,,827.144, +/- 11.715,ts
RandomForestRegressor,RandomForestRegressor,voting,,7.107, +/- 0.312,next_hour
RandomForestRegressor,RandomForestRegressor,voting,,2.143, +/- 0.091,prev_hour
RandomForestRegressor,RandomForestRegressor,voting,,1.281, +/- 0.153,day_of_year
RandomForestRegressor,RandomForestRegressor,voting,,1.089, +/- 0.105,hour
RandomForestRegressor,RandomForestRegressor,voting,,1.040, +/- 0.077,year
RandomForestRegressor,RandomForestRegressor,voting,,0.636, +/- 0.310,prev_week
RandomForestRegressor,RandomForestRegressor,voting,,0.496, +/- 0.116,next_week
RandomForestRegressor,RandomForestRegressor,voting,,-0.096, +/- 0.073,week_of_year
RandomForestRegressor,RandomForestRegressor,voting,,-0.101, +/- 0.028,month
RandomForestRegressor,RandomForestRegressor,voting,,-0.139, +/- 0.072,day_of_week
RandomForestRegressor,RandomForestRegressor,voting,,-0.263, +/- 0.035,next_day
RandomForestRegressor,RandomForestRegressor,voting,,-0.342, +/- 0.053,day
RandomForestRegressor,RandomForestRegressor,voting,,-0.353, +/- 0.054,prev_day
RandomForestRegressor,RandomForestRegressor,cascade,,1119.175, +/- 15.096,preds
RandomForestRegressor,RandomForestRegressor,cascade,,29.718, +/- 0.493,ts
RandomForestRegressor,RandomForestRegressor,cascade,,0.020, +/- 0.012,next_hour
RandomForestRegressor,RandomForestRegressor,cascade,,0.010, +/- 0.007,prev_week
RandomForestRegressor,RandomForestRegressor,cascade,,0.010, +/- 0.006,next_week
RandomForestRegressor,RandomForestRegressor,cascade,,-0.002, +/- 0.004,month
RandomForestRegressor,RandomForestRegressor,cascade,,-0.003, +/- 0.004,day_of_week
RandomForestRegressor,RandomForestRegressor,cascade,,-0.004, +/- 0.002,day_of_year
RandomForestRegressor,RandomForestRegressor,cascade,,-0.006, +/- 0.002,week_of_year
RandomForestRegressor,RandomForestRegressor,cascade,,-0.008, +/- 0.005,year
RandomForestRegressor,RandomForestRegressor,cascade,,-0.018, +/- 0.010,next_day
RandomForestRegressor,RandomForestRegressor,cascade,,-0.023, +/- 0.005,day
RandomForestRegressor,RandomForestRegressor,cascade,,-0.033, +/- 0.014,prev_day
RandomForestRegressor,RandomForestRegressor,cascade,,-0.047, +/- 0.025,prev_hour
RandomForestRegressor,RandomForestRegressor,cascade,,-0.063, +/- 0.009,hour
RandomForestRegressor,XGBoostRegressor,voting,,796.770, +/- 10.919,ts
RandomForestRegressor,XGBoostRegressor,voting,,5.364, +/- 0.175,next_hour
RandomForestRegressor,XGBoostRegressor,voting,,2.890, +/- 0.047,hour
RandomForestRegressor,XGBoostRegressor,voting,,2.617, +/- 0.077,prev_hour
RandomForestRegressor,XGBoostRegressor,voting,,2.046, +/- 0.163,year
RandomForestRegressor,XGBoostRegressor,voting,,1.318, +/- 0.138,day_of_year
RandomForestRegressor,XGBoostRegressor,voting,,1.204, +/- 0.334,prev_week
RandomForestRegressor,XGBoostRegressor,voting,,0.518, +/- 0.124,next_week
RandomForestRegressor,XGBoostRegressor,voting,,0.251, +/- 0.018,day_of_week
RandomForestRegressor,XGBoostRegressor,voting,,-0.038, +/- 0.037,next_day
RandomForestRegressor,XGBoostRegressor,voting,,-0.039, +/- 0.034,week_of_year
RandomForestRegressor,XGBoostRegressor,voting,,-0.050, +/- 0.018,month
RandomForestRegressor,XGBoostRegressor,voting,,-0.089, +/- 0.046,day
RandomForestRegressor,XGBoostRegressor,voting,,-0.116, +/- 0.028,prev_day
RandomForestRegressor,XGBoostRegressor,cascade,,1360.807, +/- 20.092,preds
RandomForestRegressor,XGBoostRegressor,cascade,,84.788, +/- 0.197,ts
RandomForestRegressor,XGBoostRegressor,cascade,,0.409, +/- 0.086,hour
RandomForestRegressor,XGBoostRegressor,cascade,,0.289, +/- 0.037,prev_hour
RandomForestRegressor,XGBoostRegressor,cascade,,0.089, +/- 0.025,day_of_year
