model,2nd_model,type,feature,importance,std,column
DecisionTreeRegressor,RandomForestRegressor,cascade,,-0.004, +/- 0.002,t
DecisionTreeRegressor,XGBoostRegressor,voting,,2.462, +/- 0.114,ts
DecisionTreeRegressor,XGBoostRegressor,voting,,0.148, +/- 0.017,hour
DecisionTreeRegressor,XGBoostRegressor,voting,,0.098, +/- 0.003,prev_hour
DecisionTreeRegressor,XGBoostRegressor,voting,,0.097, +/- 0.010,next_hour
DecisionTreeRegressor,XGBoostRegressor,voting,,0.086, +/- 0.007,pt08.s3(nox)
DecisionTreeRegressor,XGBoostRegressor,voting,,0.086, +/- 0.007,pt08.s1(co)
DecisionTreeRegressor,XGBoostRegressor,voting,,0.077, +/- 0.007,pt08.s2(nmhc)
DecisionTreeRegressor,XGBoostRegressor,voting,,0.036, +/- 0.008,rh
DecisionTreeRegressor,XGBoostRegressor,voting,,0.029, +/- 0.010,t
DecisionTreeRegressor,XGBoostRegressor,voting,,0.024, +/- 0.003,ah
DecisionTreeRegressor,XGBoostRegressor,voting,,0.023, +/- 0.004,pt08.s4(no2)
DecisionTreeRegressor,XGBoostRegressor,voting,,0.020, +/- 0.002,pt08.s5(o3)
DecisionTreeRegressor,XGBoostRegressor,voting,,0.015, +/- 0.004,next_day
DecisionTreeRegressor,XGBoostRegressor,voting,,0.010, +/- 0.003,c6h6(gt)
DecisionTreeRegressor,XGBoostRegressor,voting,,0.008, +/- 0.002,prev_week
DecisionTreeRegressor,XGBoostRegressor,voting,,0.006, +/- 0.003,prev_day
DecisionTreeRegressor,XGBoostRegressor,voting,,0.006, +/- 0.005,day
DecisionTreeRegressor,XGBoostRegressor,voting,,0.003, +/- 0.003,month
DecisionTreeRegressor,XGBoostRegressor,voting,,0.003, +/- 0.005,day_of_year
DecisionTreeRegressor,XGBoostRegressor,voting,,0.001, +/- 0.002,next_week
DecisionTreeRegressor,XGBoostRegressor,voting,,0.000, +/- 0.000,week_of_year
DecisionTreeRegressor,XGBoostRegressor,voting,,-0.001, +/- 0.001,year
DecisionTreeRegressor,XGBoostRegressor,voting,,-0.002, +/- 0.001,day_of_week
DecisionTreeRegressor,XGBoostRegressor,cascade,,3.784, +/- 0.209,preds
DecisionTreeRegressor,XGBoostRegressor,cascade,,0.000, +/- 0.000,hour
DecisionTreeRegressor,XGBoostRegressor,cascade,,0.000, +/- 0.000,rh
DecisionTreeRegressor,XGBoostRegressor,cascade,,0.000, +/- 0.000,next_hour
DecisionTreeRegressor,XGBoostRegressor,cascade,,0.000, +/- 0.000,next_day
DecisionTreeRegressor,XGBoostRegressor,cascade,,0.000, +/- 0.000,t
DecisionTreeRegressor,XGBoostRegressor,cascade,,0.000, +/- 0.000,prev_day
DecisionTreeRegressor,XGBoostRegressor,cascade,,0.000, +/- 0.000,month
DecisionTreeRegressor,XGBoostRegressor,cascade,,0.000, +/- 0.000,next_week
DecisionTreeRegressor,XGBoostRegressor,cascade,,0.000, +/- 0.000,year
DecisionTreeRegressor,XGBoostRegressor,cascade,,0.000, +/- 0.000,prev_week
DecisionTreeRegressor,XGBoostRegressor,cascade,,0.000, +/- 0.000,week_of_year
DecisionTreeRegressor,XGBoostRegressor,cascade,,-0.000, +/- 0.000,prev_hour
DecisionTreeRegressor,XGBoostRegressor,cascade,,-0.000, +/- 0.000,day_of_year
DecisionTreeRegressor,XGBoostRegressor,cascade,,-0.000, +/- 0.000,pt08.s2(nmhc)
DecisionTreeRegressor,XGBoostRegressor,cascade,,-0.000, +/- 0.000,pt08.s5(o3)
DecisionTreeRegressor,XGBoostRegressor,cascade,,-0.000, +/- 0.000,day_of_week
DecisionTreeRegressor,XGBoostRegressor,cascade,,-0.000, +/- 0.000,day
DecisionTreeRegressor,XGBoostRegressor,cascade,,-0.000, +/- 0.000,pt08.s1(co)
DecisionTreeRegressor,XGBoostRegressor,cascade,,-0.001, +/- 0.000,c6h6(gt)
DecisionTreeRegressor,XGBoostRegressor,cascade,,-0.001, +/- 0.000,ah
DecisionTreeRegressor,XGBoostRegressor,cascade,,-0.002, +/- 0.000,pt08.s4(no2)
DecisionTreeRegressor,XGBoostRegressor,cascade,,-0.003, +/- 0.000,ts
DecisionTreeRegressor,XGBoostRegressor,cascade,,-0.004, +/- 0.002,pt08.s3(nox)
DecisionTreeRegressor,SVR,voting,,2.322, +/- 0.108,ts
DecisionTreeRegressor,SVR,voting,,0.125, +/- 0.008,hour
DecisionTreeRegressor,SVR,voting,,0.121, +/- 0.004,pt08.s1(co)
DecisionTreeRegressor,SVR,voting,,0.115, +/- 0.004,prev_hour
DecisionTreeRegressor,SVR,voting,,0.097, +/- 0.011,next_hour
DecisionTreeRegressor,SVR,voting,,0.078, +/- 0.003,pt08.s3(nox)
DecisionTreeRegressor,SVR,voting,,0.070, +/- 0.009,pt08.s2(nmhc)
DecisionTreeRegressor,SVR,voting,,0.042, +/- 0.004,pt08.s4(no2)
DecisionTreeRegressor,SVR,voting,,0.036, +/- 0.003,c6h6(gt)
DecisionTreeRegressor,SVR,voting,,0.031, +/- 0.006,pt08.s5(o3)
DecisionTreeRegressor,SVR,voting,,0.025, +/- 0.005,rh
DecisionTreeRegressor,SVR,voting,,0.019, +/- 0.012,t
DecisionTreeRegressor,SVR,voting,,0.017, +/- 0.005,ah
DecisionTreeRegressor,SVR,voting,,0.012, +/- 0.001,prev_day
DecisionTreeRegressor,SVR,voting,,0.011, +/- 0.001,day
DecisionTreeRegressor,SVR,voting,,0.010, +/- 0.002,next_week
DecisionTreeRegressor,SVR,voting,,0.007, +/- 0.006,day_of_year
DecisionTreeRegressor,SVR,voting,,0.007, +/- 0.006,next_day
DecisionTreeRegressor,SVR,voting,,0.005, +/- 0.002,week_of_year
DecisionTreeRegressor,SVR,voting,,0.004, +/- 0.000,year
DecisionTreeRegressor,SVR,voting,,0.003, +/- 0.003,month
DecisionTreeRegressor,SVR,voting,,0.003, +/- 0.003,prev_week
DecisionTreeRegressor,SVR,voting,,0.001, +/- 0.005,day_of_week
DecisionTreeRegressor,SVR,cascade,,2.947, +/- 0.120,preds
DecisionTreeRegressor,SVR,cascade,,0.014, +/- 0.001,next_hour
DecisionTreeRegressor,SVR,cascade,,0.005, +/- 0.002,next_day
DecisionTreeRegressor,SVR,cascade,,-0.001, +/- 0.002,prev_day
DecisionTreeRegressor,SVR,cascade,,-0.003, +/- 0.002,prev_hour
DecisionTreeRegressor,SVR,cascade,,-0.007, +/- 0.005,rh
DecisionTreeRegressor,SVR,cascade,,-0.007, +/- 0.002,day
DecisionTreeRegressor,SVR,cascade,,-0.007, +/- 0.002,year
DecisionTreeRegressor,SVR,cascade,,-0.008, +/- 0.001,hour
DecisionTreeRegressor,SVR,cascade,,-0.010, +/- 0.004,next_week
DecisionTreeRegressor,SVR,cascade,,-0.011, +/- 0.003,pt08.s3(nox)
DecisionTreeRegressor,SVR,cascade,,-0.011, +/- 0.002,ah
DecisionTreeRegressor,SVR,cascade,,-0.011, +/- 0.006,prev_week
DecisionTreeRegressor,SVR,cascade,,-0.014, +/- 0.005,t
DecisionTreeRegressor,SVR,cascade,,-0.015, +/- 0.007,pt08.s4(no2)
DecisionTreeRegressor,SVR,cascade,,-0.019, +/- 0.004,month
DecisionTreeRegressor,SVR,cascade,,-0.020, +/- 0.004,day_of_year
DecisionTreeRegressor,SVR,cascade,,-0.021, +/- 0.005,day_of_week
DecisionTreeRegressor,SVR,cascade,,-0.021, +/- 0.005,week_of_year
DecisionTreeRegressor,SVR,cascade,,-0.023, +/- 0.003,ts
DecisionTreeRegressor,SVR,cascade,,-0.030, +/- 0.009,pt08.s2(nmhc)
DecisionTreeRegressor,SVR,cascade,,-0.031, +/- 0.002,pt08.s1(co)
DecisionTreeRegressor,SVR,cascade,,-0.033, +/- 0.008,c6h6(gt)
DecisionTreeRegressor,SVR,cascade,,-0.033, +/- 0.005,pt08.s5(o3)
DecisionTreeRegressor,GradientBoostingRegressor,voting,,2.630, +/- 0.128,ts
DecisionTreeRegressor,GradientBoostingRegressor,voting,,0.126, +/- 0.006,hour
DecisionTreeRegressor,GradientBoostingRegressor,voting,,0.102, +/- 0.003,next_hour
DecisionTreeRegressor,GradientBoostingRegressor,voting,,0.087, +/- 0.003,prev_hour
DecisionTreeRegressor,GradientBoostingRegressor,voting,,0.074, +/- 0.003,pt08.s3(nox)
DecisionTreeRegressor,GradientBoostingRegressor,voting,,0.072, +/- 0.001,pt08.s1(co)
DecisionTreeRegressor,GradientBoostingRegressor,voting,,0.047, +/- 0.005,pt08.s2(nmhc)
DecisionTreeRegressor,GradientBoostingRegressor,voting,,0.026, +/- 0.004,rh
